,fiscal_year,stock_code,ind_name1,ind_name2,E_proportion,G_proportion,None_proportion,S_proportion
4662,2018,3882,非必需性消費,家庭電器及用品,0.5605095541401274,0.0764331210191082,0.1337579617834395,0.2292993630573248
4663,2018,8128,工業,工業工程,0.3081761006289308,0.050314465408805,0.1132075471698113,0.5283018867924528
4664,2018,1280,非必需性消費,零售相關,0.1896551724137931,0.1206896551724138,0.160919540229885,0.5287356321839081
4665,2018,1763,醫療保健,藥品及生物科技,0.375609756097561,0.0829268292682926,0.1170731707317073,0.424390243902439
4666,2018,627,地產建築,地產,0.3028169014084507,0.1056338028169014,0.0985915492957746,0.4929577464788732
4667,2018,8292,工業,工業運輸,0.2735849056603773,0.1037735849056603,0.0660377358490566,0.5566037735849056
4668,2018,8187,金融,其他金融,0.3282442748091603,0.1145038167938931,0.0610687022900763,0.4961832061068702
4669,2018,61,能源,煤炭,0.4969325153374233,0.0889570552147239,0.107361963190184,0.3067484662576687
4670,2018,1303,能源,煤炭,0.3849372384937238,0.100418410041841,0.1171548117154811,0.3974895397489539
4671,2018,3989,公用事業,公用事業,0.4385382059800664,0.1129568106312292,0.0664451827242525,0.3820598006644518
4672,2018,8328,非必需性消費,汽車,0.3953488372093023,0.0581395348837209,0.1046511627906976,0.4418604651162791
4673,2018,2688,公用事業,公用事業,0.3424317617866005,0.0893300248138957,0.1513647642679901,0.4168734491315136
4674,2018,420,非必需性消費,紡織及服飾,0.4472573839662447,0.0421940928270042,0.1181434599156118,0.3924050632911392
4675,2018,117,工業,工業工程,0.4768683274021352,0.092526690391459,0.1245551601423487,0.3060498220640569
4676,2018,8172,非必需性消費,媒體及娛樂,0.4153846153846154,0.0769230769230769,0.0461538461538461,0.4615384615384615
4677,2018,371,公用事業,公用事業,0.5286343612334802,0.052863436123348,0.0638766519823788,0.3546255506607929
4678,2018,8007,原材料,一般金屬及礦石,0.3529411764705882,0.1397058823529411,0.0661764705882353,0.4411764705882353
4679,2018,8042,非必需性消費,支援服務,0.2361111111111111,0.2361111111111111,0.0694444444444444,0.4583333333333333
4680,2018,8178,資訊科技,軟件服務,0.3053892215568862,0.1257485029940119,0.1377245508982036,0.4311377245508982
4681,2018,1812,原材料,其他原材料,0.3865546218487395,0.072829131652661,0.1596638655462184,0.3809523809523809
4682,2018,542,非必需性消費,旅遊及休閒設施,0.3615384615384615,0.1307692307692307,0.0153846153846153,0.4923076923076923
4683,2018,1238,地產建築,地產,0.2918149466192171,0.0604982206405693,0.2099644128113879,0.4377224199288256
4684,2018,8113,工業,工業工程,0.4090909090909091,0.0757575757575757,0.1212121212121212,0.3939393939393939
4685,2018,2122,非必需性消費,零售相關,0.3655172413793103,0.0758620689655172,0.1034482758620689,0.4551724137931034
4686,2018,1340,必需性消費,農產品,0.39,0.08,0.13,0.4
4687,2018,1150,非必需性消費,紡織及服飾,0.4107142857142857,0.0714285714285714,0.0892857142857142,0.4285714285714285
4688,2018,2380,公用事業,公用事業,0.422680412371134,0.0515463917525773,0.1288659793814432,0.3969072164948453
4689,2018,703,非必需性消費,旅遊及休閒設施,0.3481675392670157,0.2591623036649215,0.1256544502617801,0.2670157068062827
4690,2018,8179,必需性消費,農產品,0.4,0.152,0.136,0.312
4691,2019,798,地產建築,地產,0.1331168831168831,0.0616883116883116,0.0779220779220779,0.7272727272727273
4692,2018,1093,醫療保健,藥品及生物科技,0.2346368715083799,0.0754189944134078,0.1005586592178771,0.5893854748603352
4693,2018,1570,地產建築,地產,0.3636363636363636,0.0661157024793388,0.140495867768595,0.4297520661157025
4694,2018,419,非必需性消費,旅遊及休閒設施,0.286231884057971,0.0688405797101449,0.0760869565217391,0.5688405797101449
