股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
2107,第一服務控股,60,地產建築,6010,地產,601050,物業管理及服務
2108,K2 F&B,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
2110,天成控股,60,地產建築,6020,建築,602030,重型基建
2111,超盈國際控股,23,非必需性消費,2330,紡織及服飾,233010,紡織品及布料
2112,恩典生命科技,5,原材料,520,一般金屬及礦石,52010,鋼鐵
2113,世紀集團國際,60,地產建築,6020,建築,602020,建築及服務
2115,捷心隆,60,地產建築,6020,建築,602020,建築及服務
2116,江蘇創新,5,原材料,530,其他原材料,53040,特殊化工用品
2117,大唐集團控股,60,地產建築,6010,地產,601020,地產發展商
2118,天山發展控股,60,地產建築,6010,地產,601020,地產發展商
2119,捷榮國際控股,25,必需性消費,2510,食品飲料,251030,非酒精飲料
2120,康寧醫院,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2121,創新奇智,70,資訊科技,7020,軟件服務,702030,軟件開發
2122,凱知樂國際,23,非必需性消費,2370,零售相關,237050,其他零售
2125,稻草熊娛樂,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
2126,藥明巨諾-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2127,匯森家居,23,非必需性消費,2320,家庭電器及用品,232040,家具
2128,中國聯塑,60,地產建築,6020,建築,602010,建築材料
2129,LEGION CONSO,10,工業,1020,工業運輸,102030,航空貨運及物流
2130,嘉泓物流,10,工業,1020,工業運輸,102030,航空貨運及物流
2131,云想科技,23,非必需性消費,2350,媒體及娛樂,235010,廣告及宣傳
2132,譽燊豐控股,60,地產建築,6020,建築,602030,重型基建
2133,信盛礦業,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
2135,瑞麗醫美,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2136,利福中國,23,非必需性消費,2370,零售相關,237040,多元化零售
2137,騰盛博藥-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2138,醫思健康,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2139,甘肅銀行,50,金融,5010,銀行,501010,銀行
2142,和鉑醫藥-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2145,上美股份,23,非必需性消費,2370,零售相關,237050,其他零售
2146,榮萬家,60,地產建築,6010,地產,601050,物業管理及服務
2147,正味集團,25,必需性消費,2510,食品飲料,251010,包裝食品
2148,VESYNC,23,非必需性消費,2320,家庭電器及用品,232010,家庭電器
2150,奈雪的茶,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
2152,蘇新服務,60,地產建築,6010,地產,601050,物業管理及服務
2153,達豐設備,10,工業,1010,工業工程,101040,重型機械
2155,森松國際,10,工業,1010,工業工程,101040,重型機械
2156,建發物業,60,地產建築,6010,地產,601050,物業管理及服務
2157,樂普生物-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2158,醫渡科技,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2159,麥迪衛康,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2160,心通醫療-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2161,健倍苗苗,28,醫療保健,2810,藥品及生物科技,281030,中醫藥
2162,康諾亞-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2163,遠大住工,60,地產建築,6020,建築,602010,建築材料
2165,領悅服務集團,60,地產建築,6010,地產,601050,物業管理及服務
2166,芯智控股,70,資訊科技,7030,半導體,703010,半導體
2167,天潤雲,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
2168,佳兆業美好,60,地產建築,6010,地產,601050,物業管理及服務
2169,滄港鐵路,10,工業,1020,工業運輸,102020,鐵路及公路
2170,貝康醫療-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2171,科濟藥業-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2172,微創腦科學,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2175,中國通才教育,23,非必需性消費,2360,支援服務,236010,教育
2176,賽迪顧問,70,資訊科技,7020,軟件服務,702010,系統開發及顧問
2177,優趣匯控股,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
2178,百勤油服,0,能源,10,石油及天然氣,1020,油氣設備與服務
2179,瑞科生物-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2180,萬寶盛華,23,非必需性消費,2360,支援服務,236020,其他支援服務
2181,邁博藥業-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2182,天長集團,10,工業,1010,工業工程,101020,工業零件及器材
2183,三盛控股,60,地產建築,6010,地產,601020,地產發展商
2185,百心安-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2186,綠葉製藥,28,醫療保健,2810,藥品及生物科技,281010,藥品
2187,智欣集團控股,60,地產建築,6020,建築,602010,建築材料
2188,泰坦能源技術,10,工業,1010,工業工程,101030,環保工程
